one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twenty_one,twenty_two,twenty_three,twenty_four,twenty_five,twenty_six,twenty_seven,twenty_eight
f,r,a,ː,ɣ,,,,,,,,,,,,,,,,,,,,,,,
m,ɣ,a,ː,r,ة,,,,,,,,,,,,,,,,,,,,,,
m,s,ˤ,a,ː,b,,,,,,,,,,,,,,,,,,,,,,
x,i,ː,a,ː,l,,,,,,,,,,,,,,,,,,,,,,
h,u,ː,l,,,,,,,,,,,,,,,,,,,,,,,,
a,l,s,ˤ,ʕ,u,ː,b,a,ː,t,,,,,,,,,,,,,,,,,
a,l,ħ,i,ː,r,ة,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,θ,ة,,,,,,,,,,,,,,,,,,,,,,,
l,l,ʔ,a,s,f,,,,,,,,,,,,,,,,,,,,,,
a,n,t,q,d,,,,,,,,,,,,,,,,,,,,,,,
h,d,͡,ʒ,r,,,,,,,,,,,,,,,,,,,,,,,
t,u,ː,s,ˤ,f,,,,,,,,,,,,,,,,,,,,,,
k,θ,i,ː,f,,,,,,,,,,,,,,,,,,,,,,,
ʕ,z,l,ة,,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,s,u,ː,a,ː,n,,,,,,,,,,,,,,,,,,,,
a,l,ʔ,a,d,ˤ,r,a,ː,r,,,,,,,,,,,,,,,,,,
r,ʃ,ħ,,,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,q,a,ː,l,ة,,,,,,,,,,,,,,,,,,,,
a,l,s,a,ː,k,n,ة,,,,,,,,,,,,,,,,,,,,
a,l,ʕ,n,s,ˤ,r,i,ː,ة,,,,,,,,,,,,,,,,,,
ħ,s,ˤ,r,,,,,,,,,,,,,,,,,,,,,,,,
t,n,a,ː,z,l,,,,,,,,,,,,,,,,,,,,,,
a,l,n,a,ː,q,d,,,,,,,,,,,,,,,,,,,,,
a,l,ħ,m,ى,,,,,,,,,,,,,,,,,,,,,,,
t,f,k,k,,,,,,,,,,,,,,,,,,,,,,,,
d,ˤ,r,r,,,,,,,,,,,,,,,,,,,,,,,,
m,d,ˤ,r,,,,,,,,,,,,,,,,,,,,,,,,
k,h,f,,,,,,,,,,,,,,,,,,,,,,,,,
t,d,͡,ʒ,a,ː,h,l,,,,,,,,,,,,,,,,,,,,
a,l,r,f,d,ˤ,,,,,,,,,,,,,,,,,,,,,,
k,i,ː,s,,,,,,,,,,,,,,,,,,,,,,,,
t,ˤ,u,ː,a,ː,b,q,,,,,,,,,,,,,,,,,,,,
ʕ,d,i,ː,m,,,,,,,,,,,,,,,,,,,,,,,
a,l,ʕ,ʃ,u,ː,a,ː,i,ː,ٔ,i,ː,ة,,,,,,,,,,,,,,
a,l,a,ː,n,h,i,ː,a,ː,r,,,,,,,,,,,,,,,,,
n,a,ː,q,ʃ,,,,,,,,,,,,,,,,,,,,,,,
m,t,ʔ,a,x,r,,,,,,,,,,,,,,,,,,,,,,
m,a,ː,s,ة,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,θ,n,a,ː,ء,,,,,,,,,,,,,,,,,,,,
s,ˤ,d,m,ة,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,r,ħ,,,,,,,,,,,,,,,,,,,,,,,
a,q,t,ħ,a,ː,m,,,,,,,,,,,,,,,,,,,,,
a,ʕ,t,r,a,ː,d,ˤ,,,,,,,,,,,,,,,,,,,,
a,ħ,t,r,a,ː,q,,,,,,,,,,,,,,,,,,,,,
t,ʔ,a,x,i,ː,r,,,,,,,,,,,,,,,,,,,,,
s,l,b,i,ː,,,,,,,,,,,,,,,,,,,,,,,
t,ʕ,a,ː,r,d,ˤ,,,,,,,,,,,,,,,,,,,,,
q,b,d,ˤ,ة,,,,,,,,,,,,,,,,,,,,,,,
m,u,ː,ٔ,a,ː,m,r,ة,,,,,,,,,,,,,,,,,,,
t,x,r,i,ː,b,,,,,,,,,,,,,,,,,,,,,,
a,l,m,s,ˤ,a,ː,r,f,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,u,ː,f,,,,,,,,,,,,,,,,,,,,,,
ʕ,n,i,ː,f,,,,,,,,,,,,,,,,,,,,,,,
z,ʕ,m,,,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,ʃ,h,a,ː,d,,,,,,,,,,,,,,,,,,,,
a,l,d,͡,ʒ,r,u,ː,ħ,,,,,,,,,,,,,,,,,,,
n,f,r,,,,,,,,,,,,,,,,,,,,,,,,,
s,ħ,a,ː,b,ة,,,,,,,,,,,,,,,,,,,,,,
x,r,q,,,,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,d,,,,,,,,,,,,,,,,,,,,,,,,,
x,u,ː,f,,,,,,,,,,,,,,,,,,,,,,,,
a,l,a,ː,n,x,f,a,ː,d,ˤ,,,,,,,,,,,,,,,,,
m,f,a,ː,d,͡,ʒ,i,ː,ٔ,,,,,,,,,,,,,,,,,,
a,l,h,i,ː,m,n,ة,,,,,,,,,,,,,,,,,,,,
ʃ,r,,,,,,,,,,,,,,,,,,,,,,,,,,
t,ħ,t,ˤ,m,,,,,,,,,,,,,,,,,,,,,,,
t,x,l,ى,,,,,,,,,,,,,,,,,,,,,,,,
ʃ,d,,,,,,,,,,,,,,,,,,,,,,,,,,
t,ʔ,a,k,l,,,,,,,,,,,,,,,,,,,,,,,
m,u,ː,ٔ,q,t,a,ː,,,,,,,,,,,,,,,,,,,,
n,d,ˤ,a,ː,l,,,,,,,,,,,,,,,,,,,,,,
a,l,a,ː,n,ħ,r,a,ː,f,,,,,,,,,,,,,,,,,,
q,l,q,,,,,,,,,,,,,,,,,,,,,,,,,
t,d,͡,ʒ,u,ː,i,ː,f,,,,,,,,,,,,,,,,,,,
u,ː,b,a,ː,ء,,,,,,,,,,,,,,,,,,,,,,
l,b,s,,,,,,,,,,,,,,,,,,,,,,,,,
u,ː,i,ː,u,ː,ٔ,k,d,,,,,,,,,,,,,,,,,,,
a,l,s,ˤ,d,a,ː,ʕ,,,,,,,,,,,,,,,,,,,,
f,s,a,ː,d,,,,,,,,,,,,,,,,,,,,,,,
a,l,t,n,a,ː,z,l,,,,,,,,,,,,,,,,,,,,
z,ħ,f,,,,,,,,,,,,,,,,,,,,,,,,,
t,ˤ,ʕ,m,,,,,,,,,,,,,,,,,,,,,,,,
q,a,ː,t,ˤ,ʕ,,,,,,,,,,,,,,,,,,,,,,
u,ː,i,ː,l,,,,,,,,,,,,,,,,,,,,,,,
m,a,ː,i,ː,ٔ,l,,,,,,,,,,,,,,,,,,,,,
ʕ,l,q,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,x,l,l,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,ɣ,l,,,,,,,,,,,,,,,,,,,,,,,
f,n,a,ː,ء,,,,,,,,,,,,,,,,,,,,,,,
x,a,ː,t,ˤ,i,ː,ٔ,,,,,,,,,,,,,,,,,,,,
a,l,ʕ,z,l,ة,,,,,,,,,,,,,,,,,,,,,,
f,t,n,ة,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,r,d,ˤ,a,ː,,,,,,,,,,,,,,,,,,,,,,
ħ,a,ː,m,d,ˤ,,,,,,,,,,,,,,,,,,,,,,
t,m,t,s,ˤ,,,,,,,,,,,,,,,,,,,,,,,
m,ħ,u,ː,,,,,,,,,,,,,,,,,,,,,,,,
b,q,ʕ,,,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,h,l,,,,,,,,,,,,,,,,,,,,,,,
t,s,ˤ,l,b,,,,,,,,,,,,,,,,,,,,,,,
t,d,ˤ,x,m,,,,,,,,,,,,,,,,,,,,,,,
n,z,i,ː,f,,,,,,,,,,,,,,,,,,,,,,,
m,x,l,f,a,ː,t,,,,,,,,,,,,,,,,,,,,,
ʕ,m,i,ː,l,,,,,,,,,,,,,,,,,,,,,,,
ð,ˤ,l,m,,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,d,͡,ʒ,n,b,i,ː,,,,,,,,,,,,,,,,,,,
u,ː,r,θ,,,,,,,,,,,,,,,,,,,,,,,,
ʃ,f,r,ة,,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,f,a,ː,f,,,,,,,,,,,,,,,,,,,,,
a,l,m,s,t,q,r,ة,,,,,,,,,,,,,,,,,,,,
a,ٔ,d,ˤ,ʕ,f,,,,,,,,,,,,,,,,,,,,,,
z,u,ː,a,ː,l,,,,,,,,,,,,,,,,,,,,,,
ɣ,a,ː,b,,,,,,,,,,,,,,,,,,,,,,,,
ħ,r,a,ː,m,,,,,,,,,,,,,,,,,,,,,,,
a,l,ħ,z,b,i,ː,ة,,,,,,,,,,,,,,,,,,,,
a,l,m,t,ʕ,ة,,,,,,,,,,,,,,,,,,,,,,
t,ʕ,t,ˤ,i,ː,l,,,,,,,,,,,,,,,,,,,,,
a,ٔ,θ,q,l,,,,,,,,,,,,,,,,,,,,,,,
n,f,ى,,,,,,,,,,,,,,,,,,,,,,,,,
m,u,ː,ٔ,x,r,ة,,,,,,,,,,,,,,,,,,,,,
s,i,ː,l,,,,,,,,,,,,,,,,,,,,,,,,
a,l,i,ː,ʔ,a,s,,,,,,,,,,,,,,,,,,,,,
a,l,m,x,a,ː,u,ː,f,,,,,,,,,,,,,,,,,,,
a,l,t,h,d,i,ː,d,a,ː,t,,,,,,,,,,,,,,,,,
a,n,s,d,a,ː,d,,,,,,,,,,,,,,,,,,,,,
a,l,ʃ,a,ː,i,ː,ٔ,ʕ,a,ː,t,,,,,,,,,,,,,,,,
z,a,ː,i,ː,ٔ,d,,,,,,,,,,,,,,,,,,,,,
ʕ,d,u,ː,a,ː,n,,,,,,,,,,,,,,,,,,,,,
a,ٕ,n,ð,a,ː,r,,,,,,,,,,,,,,,,,,,,,
s,b,i,ː,k,ة,,,,,,,,,,,,,,,,,,,,,,
a,l,b,q,ʕ,,,,,,,,,,,,,,,,,,,,,,,
ɣ,a,ː,l,i,ː,,,,,,,,,,,,,,,,,,,,,,
ħ,d,͡,ʒ,b,,,,,,,,,,,,,,,,,,,,,,,
u,ː,ħ,ʃ,,,,,,,,,,,,,,,,,,,,,,,,
f,d,ˤ,i,ː,ħ,ة,,,,,,,,,,,,,,,,,,,,,
a,l,m,ð,n,b,,,,,,,,,,,,,,,,,,,,,,
m,s,i,ː,ٔ,u,ː,l,i,ː,ة,,,,,,,,,,,,,,,,,
t,ʃ,u,ː,i,ː,h,,,,,,,,,,,,,,,,,,,,,
a,l,d,͡,ʒ,ħ,i,ː,m,,,,,,,,,,,,,,,,,,,
ħ,n,i,ː,n,,,,,,,,,,,,,,,,,,,,,,,
n,u,ː,b,ة,,,,,,,,,,,,,,,,,,,,,,,
t,ħ,d,i,ː,,,,,,,,,,,,,,,,,,,,,,,
a,l,d,ˤ,d,͡,ʒ,i,ː,d,͡,ʒ,,,,,,,,,,,,,,,,
m,l,,,,,,,,,,,,,,,,,,,,,,,,,,
m,k,l,f,ة,,,,,,,,,,,,,,,,,,,,,,,
ʕ,i,ː,b,,,,,,,,,,,,,,,,,,,,,,,,
t,f,r,i,ː,ɣ,,,,,,,,,,,,,,,,,,,,,,
a,d,ˤ,t,ˤ,h,a,ː,d,,,,,,,,,,,,,,,,,,,
q,d,ˤ,i,ː,b,,,,,,,,,,,,,,,,,,,,,,
ʕ,d,a,ː,ء,,,,,,,,,,,,,,,,,,,,,,,
ʕ,s,ˤ,b,i,ː,,,,,,,,,,,,,,,,,,,,,,
h,b,t,ˤ,,,,,,,,,,,,,,,,,,,,,,,,
d,m,i,ː,ة,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,r,a,ː,ħ,ة,,,,,,,,,,,,,,,,,,,,
m,q,s,m,,,,,,,,,,,,,,,,,,,,,,,,
d,ˤ,i,ː,ٔ,i,ː,l,,,,,,,,,,,,,,,,,,,,
n,u,ː,b,a,ː,t,,,,,,,,,,,,,,,,,,,,,
ɣ,r,q,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,u,ː,ħ,ʃ,i,ː,ة,,,,,,,,,,,,,,,,,,,
ɣ,l,ى,,,,,,,,,,,,,,,,,,,,,,,,,
a,n,ħ,r,a,ː,f,,,,,,,,,,,,,,,,,,,,,
n,d,r,ة,,,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,l,a,ː,b,ة,,,,,,,,,,,,,,,,,,,,,
t,ħ,ð,i,ː,r,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,m,i,ː,,,,,,,,,,,,,,,,,,,,,,,
a,d,͡,ʒ,t,i,ː,a,ː,ħ,,,,,,,,,,,,,,,,,,
ʕ,d,͡,ʒ,l,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,ð,r,i,ː,,,,,,,,,,,,,,,,,,,,,
m,f,ʕ,u,ː,l,,,,,,,,,,,,,,,,,,,,,,
t,m,s,k,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,d,a,ː,u,ː,ة,,,,,,,,,,,,,,,,,,,,,
x,d,ˤ,ʕ,,,,,,,,,,,,,,,,,,,,,,,,
t,d,ˤ,m,i,ː,n,,,,,,,,,,,,,,,,,,,,,
ʃ,k,u,ː,ى,,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,h,r,,,,,,,,,,,,,,,,,,,,,,,,
t,n,a,ː,q,s,ˤ,,,,,,,,,,,,,,,,,,,,,
l,a,ː,m,,,,,,,,,,,,,,,,,,,,,,,,
ħ,n,a,ː,n,,,,,,,,,,,,,,,,,,,,,,,
d,x,a,ː,n,,,,,,,,,,,,,,,,,,,,,,,
x,i,ː,a,ː,n,ة,,,,,,,,,,,,,,,,,,,,,
a,t,h,a,ː,m,a,ː,t,,,,,,,,,,,,,,,,,,,
z,m,r,ة,,,,,,,,,,,,,,,,,,,,,,,,
t,f,a,ː,q,m,,,,,,,,,,,,,,,,,,,,,,
a,s,t,s,l,a,ː,m,,,,,,,,,,,,,,,,,,,,
ɣ,b,a,ː,r,,,,,,,,,,,,,,,,,,,,,,,
a,l,n,m,t,ˤ,i,ː,ة,,,,,,,,,,,,,,,,,,,
a,ٔ,t,ˤ,l,a,ː,l,,,,,,,,,,,,,,,,,,,,
u,ː,h,n,,,,,,,,,,,,,,,,,,,,,,,,
a,t,h,a,ː,m,,,,,,,,,,,,,,,,,,,,,,
m,ʔ,a,s,a,ː,ة,,,,,,,,,,,,,,,,,,,,,
ɣ,r,d,ˤ,,,,,,,,,,,,,,,,,,,,,,,,
a,l,x,a,ː,r,q,ة,,,,,,,,,,,,,,,,,,,,
a,n,h,a,ː,r,,,,,,,,,,,,,,,,,,,,,,
m,s,ˤ,a,ː,d,r,ة,,,,,,,,,,,,,,,,,,,,
i,ː,k,r,h,,,,,,,,,,,,,,,,,,,,,,,
t,ʔ,a,ː,k,l,,,,,,,,,,,,,,,,,,,,,,
a,n,t,h,a,ː,k,,,,,,,,,,,,,,,,,,,,,
ɣ,u,ː,r,,,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,d,f,ة,,,,,,,,,,,,,,,,,,,,,,,
m,d,͡,ʒ,n,u,ː,n,,,,,,,,,,,,,,,,,,,,
t,ʕ,q,i,ː,d,,,,,,,,,,,,,,,,,,,,,,
t,s,l,q,,,,,,,,,,,,,,,,,,,,,,,,
b,r,u,ː,d,ة,,,,,,,,,,,,,,,,,,,,,,
a,l,ʃ,k,u,ː,k,,,,,,,,,,,,,,,,,,,,,
d,m,a,ː,r,,,,,,,,,,,,,,,,,,,,,,,
x,l,f,i,ː,,,,,,,,,,,,,,,,,,,,,,,
t,ʕ,ð,i,ː,b,,,,,,,,,,,,,,,,,,,,,,
n,h,b,,,,,,,,,,,,,,,,,,,,,,,,,
m,ʕ,l,q,,,,,,,,,,,,,,,,,,,,,,,,
q,z,m,,,,,,,,,,,,,,,,,,,,,,,,,
i,ː,h,r,b,,,,,,,,,,,,,,,,,,,,,,,
u,ː,ħ,ʃ,i,ː,ة,,,,,,,,,,,,,,,,,,,,,
t,s,a,ː,q,t,ˤ,,,,,,,,,,,,,,,,,,,,,
i,ː,t,d,x,l,,,,,,,,,,,,,,,,,,,,,,
r,u,ː,a,ː,s,b,,,,,,,,,,,,,,,,,,,,,
m,n,a,ː,f,s,,,,,,,,,,,,,,,,,,,,,,
r,q,a,ː,q,ة,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,r,m,,,,,,,,,,,,,,,,,,,,,,,
a,ٕ,x,d,ˤ,a,ː,ʕ,,,,,,,,,,,,,,,,,,,,
a,ٕ,b,a,ː,d,ة,,,,,,,,,,,,,,,,,,,,,
r,s,ˤ,i,ː,f,,,,,,,,,,,,,,,,,,,,,,
t,q,i,ː,i,ː,d,,,,,,,,,,,,,,,,,,,,,
ʃ,l,a,ː,l,a,ː,t,,,,,,,,,,,,,,,,,,,,
m,n,t,ʃ,r,,,,,,,,,,,,,,,,,,,,,,,
b,a,ː,n,k,,,,,,,,,,,,,,,,,,,,,,,
ʕ,ð,a,ː,b,,,,,,,,,,,,,,,,,,,,,,,
f,q,i,ː,r,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,d,a,ː,l,,,,,,,,,,,,,,,,,,,,,
a,l,d,͡,ʒ,n,u,ː,n,,,,,,,,,,,,,,,,,,,
t,ħ,r,i,ː,f,,,,,,,,,,,,,,,,,,,,,,
q,ð,f,,,,,,,,,,,,,,,,,,,,,,,,,
ħ,r,b,i,ː,,,,,,,,,,,,,,,,,,,,,,,
m,t,u,ː,a,ː,s,ˤ,l,,,,,,,,,,,,,,,,,,,
ɣ,a,ː,m,d,ˤ,,,,,,,,,,,,,,,,,,,,,,
h,d,d,,,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,h,n,m,,,,,,,,,,,,,,,,,,,,,,
a,n,ħ,l,a,ː,l,,,,,,,,,,,,,,,,,,,,,
a,l,ʔ,a,ð,ى,,,,,,,,,,,,,,,,,,,,,,
a,ʕ,t,d,a,ː,ء,,,,,,,,,,,,,,,,,,,,,
t,u,ː,t,r,,,,,,,,,,,,,,,,,,,,,,,
a,n,ħ,d,a,ː,r,,,,,,,,,,,,,,,,,,,,,
a,l,t,ʔ,a,x,i,ː,r,,,,,,,,,,,,,,,,,,,
ʃ,l,a,ː,l,,,,,,,,,,,,,,,,,,,,,,,
d,b,,,,,,,,,,,,,,,,,,,,,,,,,,
t,s,ˤ,a,ː,d,m,,,,,,,,,,,,,,,,,,,,,
u,n,d,e,f,i,n,e,d,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,d,i,ː,ة,,,,,,,,,,,,,,,,,,,,,
θ,q,i,ː,l,,,,,,,,,,,,,,,,,,,,,,,
t,n,a,ː,q,d,ˤ,,,,,,,,,,,,,,,,,,,,,
a,n,t,h,a,ː,k,a,ː,t,,,,,,,,,,,,,,,,,,
a,l,a,ː,s,t,q,t,ˤ,a,ː,b,,,,,,,,,,,,,,,,
m,b,r,r,,,,,,,,,,,,,,,,,,,,,,,,
m,d,͡,ʒ,a,ː,z,r,,,,,,,,,,,,,,,,,,,,
ħ,z,n,,,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,n,u,ː,n,,,,,,,,,,,,,,,,,,,,,
a,ٕ,ʕ,a,ː,q,ة,,,,,,,,,,,,,,,,,,,,,
k,r,h,,,,,,,,,,,,,,,,,,,,,,,,,
s,r,b,,,,,,,,,,,,,,,,,,,,,,,,,
a,ħ,t,k,a,ː,k,,,,,,,,,,,,,,,,,,,,,
m,ħ,a,ː,r,b,,,,,,,,,,,,,,,,,,,,,,
t,s,ˤ,d,ى,,,,,,,,,,,,,,,,,,,,,,,
a,l,k,f,a,ː,r,,,,,,,,,,,,,,,,,,,,,
ɣ,r,s,,,,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,x,r,i,ː,,,,,,,,,,,,,,,,,,,,,,
r,t,ˤ,b,,,,,,,,,,,,,,,,,,,,,,,,
n,q,i,ː,d,ˤ,,,,,,,,,,,,,,,,,,,,,,
d,ʕ,a,ː,i,ː,ة,,,,,,,,,,,,,,,,,,,,,
t,m,z,q,,,,,,,,,,,,,,,,,,,,,,,,
t,ʃ,u,ː,h,,,,,,,,,,,,,,,,,,,,,,,
m,n,ħ,d,r,,,,,,,,,,,,,,,,,,,,,,,
k,r,b,,,,,,,,,,,,,,,,,,,,,,,,,
d,a,ː,k,n,,,,,,,,,,,,,,,,,,,,,,,
t,ħ,t,ˤ,i,ː,m,,,,,,,,,,,,,,,,,,,,,
t,ħ,t,ˤ,m,t,,,,,,,,,,,,,,,,,,,,,,
a,ٕ,h,m,a,ː,l,,,,,,,,,,,,,,,,,,,,,
e,r,r,o,r,,,,,,,,,,,,,,,,,,,,,,,
ɣ,m,r,,,,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,ħ,r,a,ː,u,ː,i,ː,,,,,,,,,,,,,,,,,,
l,ʕ,n,ة,,,,,,,,,,,,,,,,,,,,,,,,
ħ,a,ː,s,ˤ,r,,,,,,,,,,,,,,,,,,,,,,
t,d,i,ː,n,,,,,,,,,,,,,,,,,,,,,,,
t,θ,b,i,ː,t,ˤ,,,,,,,,,,,,,,,,,,,,,
k,ð,b,,,,,,,,,,,,,,,,,,,,,,,,,
s,a,ː,x,r,,,,,,,,,,,,,,,,,,,,,,,
ħ,r,d,͡,ʒ,,,,,,,,,,,,,,,,,,,,,,,
q,r,ʃ,,,,,,,,,,,,,,,,,,,,,,,,,
x,r,a,ː,b,,,,,,,,,,,,,,,,,,,,,,,
t,d,͡,ʒ,f,i,ː,f,,,,,,,,,,,,,,,,,,,,
s,d,͡,ʒ,i,ː,n,,,,,,,,,,,,,,,,,,,,,
m,m,n,u,ː,ʕ,,,,,,,,,,,,,,,,,,,,,,
a,ٕ,b,ʕ,a,ː,d,,,,,,,,,,,,,,,,,,,,,
a,ٔ,l,ɣ,ى,,,,,,,,,,,,,,,,,,,,,,,
d,f,a,ː,ʕ,i,ː,,,,,,,,,,,,,,,,,,,,,
a,ʕ,t,r,d,ˤ,,,,,,,,,,,,,,,,,,,,,,
b,r,e,a,k,,,,,,,,,,,,,,,,,,,,,,,
a,s,t,s,l,m,,,,,,,,,,,,,,,,,,,,,,
a,ٕ,d,ˤ,ʕ,a,ː,f,,,,,,,,,,,,,,,,,,,,
ħ,b,s,,,,,,,,,,,,,,,,,,,,,,,,,
b,a,ː,h,ð,ˤ,ة,,,,,,,,,,,,,,,,,,,,,
a,l,ʃ,ð,u,ː,ð,,,,,,,,,,,,,,,,,,,,,
a,ٕ,n,k,a,ː,r,,,,,,,,,,,,,,,,,,,,,
ð,n,b,,,,,,,,,,,,,,,,,,,,,,,,,
b,t,ˤ,i,ː,ء,,,,,,,,,,,,,,,,,,,,,,
i,ː,f,t,q,r,,,,,,,,,,,,,,,,,,,,,,
i,ː,d,ˤ,r,,,,,,,,,,,,,,,,,,,,,,,
t,x,l,f,,,,,,,,,,,,,,,,,,,,,,,,
m,t,q,t,ˤ,ʕ,,,,,,,,,,,,,,,,,,,,,,
ɣ,t,ˤ,t,,,,,,,,,,,,,,,,,,,,,,,,
ʕ,a,ː,b,r,,,,,,,,,,,,,,,,,,,,,,,
h,u,ː,t,,,,,,,,,,,,,,,,,,,,,,,,
m,z,m,n,,,,,,,,,,,,,,,,,,,,,,,,
ʃ,l,,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,d,d,͡,ʒ,a,ː,l,,,,,,,,,,,,,,,,,,,
i,ː,n,t,q,d,,,,,,,,,,,,,,,,,,,,,,
n,q,a,ː,d,,,,,,,,,,,,,,,,,,,,,,,
ʕ,b,ء,,,,,,,,,,,,,,,,,,,,,,,,,
a,ħ,t,d,͡,ʒ,a,ː,d,͡,ʒ,,,,,,,,,,,,,,,,,
ɣ,i,ː,b,u,ː,b,ة,,,,,,,,,,,,,,,,,,,,
a,l,a,ː,ʕ,t,s,ˤ,a,ː,m,,,,,,,,,,,,,,,,,
k,r,a,ː,h,i,ː,ة,,,,,,,,,,,,,,,,,,,,
n,z,ʕ,ة,,,,,,,,,,,,,,,,,,,,,,,,
m,t,ʕ,b,,,,,,,,,,,,,,,,,,,,,,,,
a,l,ʃ,q,u,ː,q,,,,,,,,,,,,,,,,,,,,,
ʕ,t,i,ː,q,,,,,,,,,,,,,,,,,,,,,,,
a,l,s,a,ː,x,r,ة,,,,,,,,,,,,,,,,,,,,
i,ː,ʕ,a,ː,q,b,,,,,,,,,,,,,,,,,,,,,
a,l,t,x,l,f,,,,,,,,,,,,,,,,,,,,,,
q,s,u,ː,ة,,,,,,,,,,,,,,,,,,,,,,,
ʕ,n,s,ˤ,r,i,ː,ة,,,,,,,,,,,,,,,,,,,,
a,l,ʔ,a,s,ˤ,u,ː,l,i,ː,ة,,,,,,,,,,,,,,,,
a,ٔ,x,t,ˤ,ʔ,a,,,,,,,,,,,,,,,,,,,,,
a,ٕ,d,a,ː,n,ة,,,,,,,,,,,,,,,,,,,,,
i,ː,x,a,ː,f,,,,,,,,,,,,,,,,,,,,,,
m,ð,n,b,,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,a,ː,l,s,,,,,,,,,,,,,,,,,,,,,
t,f,a,ː,u,ː,t,,,,,,,,,,,,,,,,,,,,,
a,l,ʕ,b,θ,,,,,,,,,,,,,,,,,,,,,,,
a,ɣ,t,s,ˤ,a,ː,b,,,,,,,,,,,,,,,,,,,,
u,ː,ħ,i,ː,d,a,ː,,,,,,,,,,,,,,,,,,,,
f,u,ː,d,ˤ,ى,,,,,,,,,,,,,,,,,,,,,,
d,ˤ,a,ː,r,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,ð,ى,,,,,,,,,,,,,,,,,,,,,,,,
n,a,ː,q,s,ˤ,,,,,,,,,,,,,,,,,,,,,,
k,m,i,ː,n,,,,,,,,,,,,,,,,,,,,,,,
ʕ,r,d,ˤ,i,ː,,,,,,,,,,,,,,,,,,,,,,
x,s,ˤ,m,,,,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,n,,,,,,,,,,,,,,,,,,,,,,,,
t,ð,ˤ,a,ː,h,r,,,,,,,,,,,,,,,,,,,,,
t,d,͡,ʒ,m,i,ː,d,,,,,,,,,,,,,,,,,,,,
a,l,m,ð,ˤ,a,ː,l,m,,,,,,,,,,,,,,,,,,,
ʃ,t,ˤ,b,,,,,,,,,,,,,,,,,,,,,,,,
b,ʕ,n,f,,,,,,,,,,,,,,,,,,,,,,,,
m,d,͡,ʒ,a,ː,ʕ,ة,,,,,,,,,,,,,,,,,,,,
n,a,ː,q,d,,,,,,,,,,,,,,,,,,,,,,,
m,s,t,ħ,i,ː,l,,,,,,,,,,,,,,,,,,,,,
a,ʕ,t,ð,r,,,,,,,,,,,,,,,,,,,,,,,
a,l,ʕ,a,ː,d,m,,,,,,,,,,,,,,,,,,,,,
a,ʃ,t,b,a,ː,k,,,,,,,,,,,,,,,,,,,,,
ɣ,l,i,ː,a,ː,n,,,,,,,,,,,,,,,,,,,,,
a,ٕ,d,͡,ʒ,h,a,ː,d,,,,,,,,,,,,,,,,,,,
n,k,b,ة,,,,,,,,,,,,,,,,,,,,,,,,
ð,b,ħ,,,,,,,,,,,,,,,,,,,,,,,,,
a,l,a,ː,h,t,z,a,ː,z,,,,,,,,,,,,,,,,,,
a,ٔ,b,t,ˤ,ʔ,a,,,,,,,,,,,,,,,,,,,,,
i,ː,d,ˤ,ʕ,f,,,,,,,,,,,,,,,,,,,,,,
m,ʕ,a,ː,k,s,,,,,,,,,,,,,,,,,,,,,,
s,m,i,ː,k,,,,,,,,,,,,,,,,,,,,,,,
ħ,t,ˤ,m,,,,,,,,,,,,,,,,,,,,,,,,
