0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
t,o,p,,,,,,,,,,,,,,,,,,,,,,,,
f,d,ˤ,i,ː,l,ة,,,,,,,,,,,,,,,,,,,,
m,s,t,q,i,ː,m,,,,,,,,,,,,,,,,,,,,
s,ˤ,f,q,ة,,,,,,,,,,,,,,,,,,,,,,
t,n,ʃ,i,ː,t,ˤ,,,,,,,,,,,,,,,,,,,,
a,n,t,s,ˤ,r,,,,,,,,,,,,,,,,,,,,,
t,k,r,i,ː,m,,,,,,,,,,,,,,,,,,,,,
t,l,b,i,ː,ة,,,,,,,,,,,,,,,,,,,,,
s,m,ʕ,ة,,,,,,,,,,,,,,,,,,,,,,,
a,ٔ,m,a,ː,n,ة,,,,,,,,,,,,,,,,,,,,
ħ,q,a,ː,,,,,,,,,,,,,,,,,,,,,,,
s,m,a,ː,ء,,,,,,,,,,,,,,,,,,,,,,
ħ,a,ː,r,,,,,,,,,,,,,,,,,,,,,,,
m,n,ð,ˤ,m,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,d,q,,,,,,,,,,,,,,,,,,,,,,,
a,z,d,h,a,ː,r,,,,,,,,,,,,,,,,,,,,
i,ː,θ,i,ː,r,,,,,,,,,,,,,,,,,,,,,
m,t,m,i,ː,z,,,,,,,,,,,,,,,,,,,,,
d,͡,ʒ,a,ː,ð,b,i,ː,ة,,,,,,,,,,,,,,,,,
a,ٕ,d,ˤ,a,ː,f,i,ː,,,,,,,,,,,,,,,,,,
n,ʕ,m,ة,,,,,,,,,,,,,,,,,,,,,,,
m,a,ː,h,r,,,,,,,,,,,,,,,,,,,,,,
ʕ,t,ˤ,a,ː,ء,,,,,,,,,,,,,,,,,,,,,
a,s,t,ʕ,d,a,ː,d,,,,,,,,,,,,,,,,,,,
a,ٔ,b,s,t,ˤ,,,,,,,,,,,,,,,,,,,,,
a,k,t,s,b,t,,,,,,,,,,,,,,,,,,,,,
q,m,m,,,,,,,,,,,,,,,,,,,,,,,,
a,ٕ,i,ː,m,a,ː,n,,,,,,,,,,,,,,,,,,,
a,ħ,t,f,a,ː,l,,,,,,,,,,,,,,,,,,,,
d,a,ː,f,ʕ,,,,,,,,,,,,,,,,,,,,,,
b,r,,,,,,,,,,,,,,,,,,,,,,,,,
b,r,q,ة,,,,,,,,,,,,,,,,,,,,,,,
m,t,k,a,ː,m,l,,,,,,,,,,,,,,,,,,,,
ʕ,m,l,i,ː,,,,,,,,,,,,,,,,,,,,,,
ʕ,ð,ˤ,m,ة,,,,,,,,,,,,,,,,,,,,,,
f,u,ː,r,a,ː,,,,,,,,,,,,,,,,,,,,,
a,l,t,ʔ,a,h,l,,,,,,,,,,,,,,,,,,,,
ħ,q,n,,,,,,,,,,,,,,,,,,,,,,,,
s,ˤ,d,a,ː,q,ة,,,,,,,,,,,,,,,,,,,,
a,l,m,θ,a,ː,l,i,ː,,,,,,,,,,,,,,,,,,
s,ʕ,a,ː,d,ة,,,,,,,,,,,,,,,,,,,,,
q,d,s,,,,,,,,,,,,,,,,,,,,,,,,
